key,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Oregon Violent Crime,247.1,242.8,259.2,265.4,268.8,280.4,290.4,293.7,291.9,341.3,342.4
United States Violent Crime,387.8,369.1,361.6,373.7,397.5,394.9,383.4,380.8,398.5,387,380.7
