"st_abbrev","geo","state_symbol","data_symbol","start_year","start_month","end_year","end_month","all_percentagechange","opioid_percentagechange","heroin_percentagechange","stimulant_percentagechange","all_issignificant","opioid_issignificant","heroin_issignificant","stimulant_issignificant","all_significance","opioid_significance","heroin_significance","stimulant_significance","sex","age_range","state_count","comparison_type"
"US","US-US","","*","2020","2","2020","3","suppressed","suppressed","suppressed","suppressed","FALSE","FALSE","FALSE","FALSE","Data Not Available/Not Reported","Data Not Available/Not Reported","Data Not Available/Not Reported","Data Not Available/Not Reported","all","all","42","1Month2MonthUS"
"US","US-US","","*","2020","3","2020","4","suppressed","suppressed","suppressed","suppressed","FALSE","FALSE","FALSE","FALSE","Data Not Available/Not Reported","Data Not Available/Not Reported","Data Not Available/Not Reported","Data Not Available/Not Reported","all","all","42","1Month2MonthUS"
"US","US-US","","*","2020","4","2020","5","suppressed","suppressed","suppressed","suppressed","FALSE","FALSE","FALSE","FALSE","Data Not Available/Not Reported","Data Not Available/Not Reported","Data Not Available/Not Reported","Data Not Available/Not Reported","all","all","42","1Month2MonthUS"
"US","US-US","","*","2020","5","2020","6","suppressed","suppressed","suppressed","suppressed","FALSE","FALSE","FALSE","FALSE","Data Not Available/Not Reported","Data Not Available/Not Reported","Data Not Available/Not Reported","Data Not Available/Not Reported","all","all","42","1Month2MonthUS"
"US","US-US","","*","2020","6","2020","7","suppressed","suppressed","suppressed","suppressed","FALSE","FALSE","FALSE","FALSE","Data Not Available/Not Reported","Data Not Available/Not Reported","Data Not Available/Not Reported","Data Not Available/Not Reported","all","all","42","1Month2MonthUS"
"US","US-US","","*","2020","7","2020","8","suppressed","suppressed","suppressed","suppressed","FALSE","FALSE","FALSE","FALSE","Data Not Available/Not Reported","Data Not Available/Not Reported","Data Not Available/Not Reported","Data Not Available/Not Reported","all","all","42","1Month2MonthUS"
"US","US-US","","","2020","8","2020","9","-2.08","-4.32","-6.14","-4.66","TRUE","TRUE","TRUE","FALSE","Significant Decrease","Significant Decrease","Significant Decrease","No Significant Change","all","all","42","1Month2MonthUS"
"US","US-US","","","2020","9","2020","10","-5.18","-9.83","-13.22","-7.69","TRUE","TRUE","TRUE","TRUE","Significant Decrease","Significant Decrease","Significant Decrease","Significant Decrease","all","all","42","1Month2MonthUS"
"US","US-US","","","2020","10","2020","11","-1.69","-1.17","-2.79","-3.88","TRUE","FALSE","FALSE","FALSE","Significant Decrease","No Significant Change","No Significant Change","No Significant Change","all","all","42","1Month2MonthUS"
"US","US-US","","","2020","11","2020","12","-0.38","3.2","2.46","-1.79","FALSE","TRUE","FALSE","FALSE","No Significant Change","Significant Increase","No Significant Change","No Significant Change","all","all","42","1Month2MonthUS"
"US","US-US","","","2020","12","2021","1","1.78","0.84","-2.44","12.44","TRUE","FALSE","FALSE","TRUE","Significant Increase","No Significant Change","No Significant Change","Significant Increase","all","all","42","1Month2MonthUS"
"US","US-US","","","2021","1","2021","2","4.12","0.71","-1.91","4","TRUE","FALSE","FALSE","FALSE","Significant Increase","No Significant Change","No Significant Change","No Significant Change","all","all","42","1Month2MonthUS"
"US","US-US","","","2021","2","2021","3","2.95","7.74","8.68","5.12","TRUE","TRUE","TRUE","FALSE","Significant Increase","Significant Increase","Significant Increase","No Significant Change","all","all","41","1Month2MonthUS"
"US","US-US","","","2021","3","2021","4","-2.93","-4.02","-6.14","-0.37","TRUE","TRUE","TRUE","FALSE","Significant Decrease","Significant Decrease","Significant Decrease","No Significant Change","all","all","41","1Month2MonthUS"
"US","US-US","","","2021","4","2021","5","-2.34","-3.17","-5.02","-8.88","TRUE","TRUE","TRUE","TRUE","Significant Decrease","Significant Decrease","Significant Decrease","Significant Decrease","all","all","40","1Month2MonthUS"
"US","US-US","","","2021","5","2021","6","-3.04","0.5","1.44","-3.23","TRUE","FALSE","FALSE","FALSE","Significant Decrease","No Significant Change","No Significant Change","No Significant Change","all","all","40","1Month2MonthUS"
"US","US-US","","","2021","6","2021","7","-4.4","-3.96","-4.01","-7.12","TRUE","TRUE","TRUE","TRUE","Significant Decrease","Significant Decrease","Significant Decrease","Significant Decrease","all","all","40","1Month2MonthUS"
"US","US-US","","","2021","7","2021","8","-6.21","-9.07","-12.91","-8.03","TRUE","TRUE","TRUE","TRUE","Significant Decrease","Significant Decrease","Significant Decrease","Significant Decrease","all","all","41","1Month2MonthUS"
"US","US-US","","","2021","8","2021","9","3.9","4.95","1.31","0.48","TRUE","TRUE","FALSE","FALSE","Significant Increase","Significant Increase","No Significant Change","No Significant Change","all","all","41","1Month2MonthUS"
"US","US-US","","","2021","9","2021","10","1.65","-0.11","-3.69","0.07","TRUE","FALSE","TRUE","FALSE","Significant Increase","No Significant Change","Significant Decrease","No Significant Change","all","all","42","1Month2MonthUS"
"US","US-US","","","2021","10","2021","11","-5.51","-6.03","-7.6","-8.1","TRUE","TRUE","TRUE","TRUE","Significant Decrease","Significant Decrease","Significant Decrease","Significant Decrease","all","all","42","1Month2MonthUS"
"US","US-US","","","2021","11","2021","12","-10.27","-7.12","-8.13","-9.53","TRUE","TRUE","TRUE","TRUE","Significant Decrease","Significant Decrease","Significant Decrease","Significant Decrease","all","all","42","1Month2MonthUS"
"US","US-US","","","2021","12","2022","1","1.52","-0.53","-8.7","-0.08","TRUE","FALSE","TRUE","FALSE","Significant Increase","No Significant Change","Significant Decrease","No Significant Change","all","all","42","1Month2MonthUS"
"US","US-US","","","2022","1","2022","2","20.51","17.94","19.4","27.26","TRUE","TRUE","TRUE","TRUE","Significant Increase","Significant Increase","Significant Increase","Significant Increase","all","all","42","1Month2MonthUS"
"US","US-US","","","2022","2","2022","3","-3.6","-3.43","-6.26","2.99","TRUE","TRUE","TRUE","FALSE","Significant Decrease","Significant Decrease","Significant Decrease","No Significant Change","all","all","42","1Month2MonthUS"
"US","US-US","","","2022","3","2022","4","-2.99","-2.26","-8.15","-3.15","TRUE","TRUE","TRUE","FALSE","Significant Decrease","Significant Decrease","Significant Decrease","No Significant Change","all","all","42","1Month2MonthUS"
"US","US-US","","","2022","4","2022","5","-5.09","-6.8","-7.36","-6.96","TRUE","TRUE","TRUE","TRUE","Significant Decrease","Significant Decrease","Significant Decrease","Significant Decrease","all","all","42","1Month2MonthUS"
"US","US-US","","","2022","5","2022","6","1.36","4.49","3.55","1.64","TRUE","TRUE","FALSE","FALSE","Significant Increase","Significant Increase","No Significant Change","No Significant Change","all","all","42","1Month2MonthUS"
"US","US-US","","","2022","6","2022","7","3.03","5.83","1.7","-1.43","TRUE","TRUE","FALSE","FALSE","Significant Increase","Significant Increase","No Significant Change","No Significant Change","all","all","42","1Month2MonthUS"
"US","US-US","","","2022","7","2022","8","-2.06","-2.79","-1.93","1.05","TRUE","TRUE","FALSE","FALSE","Significant Decrease","Significant Decrease","No Significant Change","No Significant Change","all","all","42","1Month2MonthUS"
"US","US-US","","","2022","8","2022","9","-0.4","-2.53","-7.72","-5.59","FALSE","TRUE","TRUE","TRUE","No Significant Change","Significant Decrease","Significant Decrease","Significant Decrease","all","all","42","1Month2MonthUS"
"US","US-US","","","2022","9","2022","10","-6.69","-9.18","-17.64","-11.78","TRUE","TRUE","TRUE","TRUE","Significant Decrease","Significant Decrease","Significant Decrease","Significant Decrease","all","all","42","1Month2MonthUS"
"US","US-US","","","2022","10","2022","11","-7.51","-6.8","-6.77","-4.17","TRUE","TRUE","TRUE","FALSE","Significant Decrease","Significant Decrease","Significant Decrease","No Significant Change","all","all","42","1Month2MonthUS"
"US","US-US","","","2022","11","2022","12","4","6.55","-2.38","1.21","TRUE","TRUE","FALSE","FALSE","Significant Increase","Significant Increase","No Significant Change","No Significant Change","all","all","42","1Month2MonthUS"
"US","US-US","","","2022","12","2023","1","7.05","3.12","-1.18","9.35","TRUE","TRUE","FALSE","TRUE","Significant Increase","Significant Increase","No Significant Change","Significant Increase","all","all","42","1Month2MonthUS"
"US","US-US","","","2023","1","2023","2","1.87","0.24","-4.97","3.32","TRUE","FALSE","FALSE","FALSE","Significant Increase","No Significant Change","No Significant Change","No Significant Change","all","all","42","1Month2MonthUS"
"US","US-US","","","2023","2","2023","3","0.58","2.23","-2.24","6.05","FALSE","TRUE","FALSE","TRUE","No Significant Change","Significant Increase","No Significant Change","Significant Increase","all","all","42","1Month2MonthUS"
"US","US-US","","","2023","3","2023","4","2.34","3.57","5.79","-0.76","TRUE","TRUE","TRUE","FALSE","Significant Increase","Significant Increase","Significant Increase","No Significant Change","all","all","42","1Month2MonthUS"
"US","US-US","","","2023","4","2023","5","-0.22","-0.66","0.18","2.09","FALSE","FALSE","FALSE","FALSE","No Significant Change","No Significant Change","No Significant Change","No Significant Change","all","all","42","1Month2MonthUS"
"US","US-US","","","2018","1","2019","1","5.65","10.57","-3.76","22.26","TRUE","TRUE","FALSE","TRUE","Significant Increase","Significant Increase","No Significant Change","Significant Increase","all","all","34","2Year2YearSameMonthUS"
"US","US-US","","","2018","2","2019","2","6.98","13.35","-2","19.37","TRUE","TRUE","FALSE","TRUE","Significant Increase","Significant Increase","No Significant Change","Significant Increase","all","all","35","2Year2YearSameMonthUS"
"US","US-US","","","2018","3","2019","3","-1.46","5.33","-6.16","5.85","TRUE","TRUE","TRUE","FALSE","Significant Decrease","Significant Increase","Significant Decrease","No Significant Change","all","all","36","2Year2YearSameMonthUS"
"US","US-US","","","2018","4","2019","4","3.11","10.57","0.93","14.24","TRUE","TRUE","FALSE","TRUE","Significant Increase","Significant Increase","No Significant Change","Significant Increase","all","all","37","2Year2YearSameMonthUS"
"US","US-US","","","2018","5","2019","5","3.85","9.45","-3.13","12.57","TRUE","TRUE","FALSE","TRUE","Significant Increase","Significant Increase","No Significant Change","Significant Increase","all","all","37","2Year2YearSameMonthUS"
"US","US-US","","","2018","6","2019","6","4.03","7.57","-1.59","17.23","TRUE","TRUE","FALSE","TRUE","Significant Increase","Significant Increase","No Significant Change","Significant Increase","all","all","37","2Year2YearSameMonthUS"
"US","US-US","","","2018","7","2019","7","3.67","11.66","0.23","12.72","TRUE","TRUE","FALSE","TRUE","Significant Increase","Significant Increase","No Significant Change","Significant Increase","all","all","37","2Year2YearSameMonthUS"
"US","US-US","","","2018","8","2019","8","4.73","13.22","-0.66","12.83","TRUE","TRUE","FALSE","TRUE","Significant Increase","Significant Increase","No Significant Change","Significant Increase","all","all","37","2Year2YearSameMonthUS"
"US","US-US","","","2018","9","2019","9","4.68","14.08","1.1","13.61","TRUE","TRUE","FALSE","TRUE","Significant Increase","Significant Increase","No Significant Change","Significant Increase","all","all","37","2Year2YearSameMonthUS"
"US","US-US","","","2018","10","2019","10","6.56","15.43","1.58","22.6","TRUE","TRUE","FALSE","TRUE","Significant Increase","Significant Increase","No Significant Change","Significant Increase","all","all","38","2Year2YearSameMonthUS"
"US","US-US","","","2018","11","2019","11","6.12","17.36","5.67","7.66","TRUE","TRUE","TRUE","TRUE","Significant Increase","Significant Increase","Significant Increase","Significant Increase","all","all","37","2Year2YearSameMonthUS"
"US","US-US","","","2018","12","2019","12","6.95","18.46","6.75","11.64","TRUE","TRUE","TRUE","TRUE","Significant Increase","Significant Increase","Significant Increase","Significant Increase","all","all","37","2Year2YearSameMonthUS"
