"","fips","year","state","county","yrs_potential_life_lost_rate","percent_fair_poor_health","phys_unhealthy_days","mentally_unhealthy_days","preventable_hosp_rate","percent_smokers","low_birthweight","excessive_drinking","mental_health_providers","mental_health_providers_ratio","percent_unemployed","violent_crime_rate","income_ratio","eighty_percentile_income","twenty_percentile_income","labor_force","percent_child_poverty"
"31",41059,2018,"Oregon","Umatilla","6306.9015186",17.68201,3.83864,4.17385,"35.3","18.309778868","6.4529166105",18.46566,"228","335:1",1966,"173.68290464",4.24497,87336,20574,36291,19.1
"32",41061,2018,"Oregon","Union","7030.7145784",16.5655,4.03374,4.43709,"43.39","17.588720775","6.8311195446",18.01019,"70","373:1",717,"141.14977706",4.74135,90171,19018,12073,19.9
"33",41063,2018,"Oregon","Wallowa","7524.3586382",13.58535,3.69471,4.11762,"54.26","14.574195436","6.2350119904",16.95885,"14","496:1",225,"14.46131598",4.68173,86186,18409,3334,22.5
"34",41065,2018,"Oregon","Wasco","7297.22789",14.90786,3.66256,4.14676,"43.35","15.255406203","5.9318075666",19.12156,"95","275:1",673,"118.6734654",3.7479,83612,22309,13789,21.8
"35",41067,2018,"Oregon","Washington","4142.3735292",11.95507,3.36045,3.6013,"26.15","12.517743414","6.0704486766",20.85054,"1756","332:1",13087,"148.89349573",4.21342,128918,30597,314169,11.6
"36",41069,2018,"Oregon","Wheeler",NA,16.29204,4.09666,4.47087,NA,"15.175028384",NA,14.55893,"3","448:1",30,"358.29451809",4.54746,69467,15276,690,39.9
"37",41071,2018,"Oregon","Yamhill","5491.1866255",14.97995,3.87052,4.2954,"38.49","15.933288829","6.0505910766",19.28305,"361","291:1",2476,"128.37267015",4.12312,103478,25097,52921,15.8
"38",41000,2019,"Oregon","state_year","6049.2323181",15.82219,3.84761,4.46476,"2903","16.210885143","6.3619140551",18.53224,"19755","210:1",86789,"248.69464455",4.58725,108984,23758,2104086,16.5
"39",41001,2019,"Oregon","Baker","7421.9115326",13.87871,3.70484,4.14402,"974","15.286400992","6.6666666667",18.08994,"89","180:1",386,"264.39391583",4.33419,84209,19429,7070,27.1
"40",41003,2019,"Oregon","Benton","4317.0257595",13.24667,3.73197,4.20109,"1683","14.028612355","5.4381846635",20.35584,"713","128:1",1570,"128.03222998",5.81994,114228,19627,48126,12
"41",41005,2019,"Oregon","Clackamas","5263.3826192",10.37175,3.19504,4.01815,"2349","12.987509924","5.9521272818",20.77303,"1146","360:1",8191,"160.08826767",4.15084,135446,32631,218947,9.9
"42",41007,2019,"Oregon","Clatsop","7644.5846511",14.30096,3.68313,4.33304,"3563","16.129745231","6.3563737409",19.05423,"106","370:1",795,"163.2782811",4.21485,98463,23361,19248,17.4
"43",41009,2019,"Oregon","Columbia","6174.9756972",12.86892,3.52903,4.2518,"3650","15.294710779","6.0502283105",19.39378,"158","328:1",1253,"133.21719527",4.1213,105497,25598,24224,16.6
"44",41011,2019,"Oregon","Coos","9048.3569518",17.21495,4.17017,4.55674,"4092","19.282711481","6.2645551933",17.1439,"228","280:1",1471,"170.38311388",4.71036,80208,17028,26645,27.3
"45",41013,2019,"Oregon","Crook","7663.9780974",15.49365,3.86516,4.47622,"2658","15.716879789","6.3394683027",17.29948,"94","246:1",599,"345.83479378",4.00623,83650,20880,9563,20.9
"46",41015,2019,"Oregon","Curry","8853.1015058",15.02976,4.01759,4.35483,"2414","14.923724568","6.3846767757",15.91875,"82","276:1",551,"108.04716494",4.59484,84761,18447,9049,24.5
"47",41017,2019,"Oregon","Deschutes","4892.5769244",13.8214,3.54247,3.98304,"2050","13.710796688","6.618247103",20.54584,"769","243:1",3937,"168.56831604",4.07415,105985,26014,93470,12.4
"48",41019,2019,"Oregon","Douglas","9229.6728758",15.2707,3.89954,4.48079,"3239","15.855366234","6.6850901434",16.65014,"289","379:1",2492,"218.73791992",4.20598,84801,20162,46572,22.6
"49",41021,2019,"Oregon","Gilliam",NA,14.3053,3.78468,4.19557,"2990","14.727896872","8.9430894309",16.83397,"2","928:1",36,"0",3.52048,80714,22927,865,17.7
"50",41023,2019,"Oregon","Grant","8125.9126945",14.17934,3.74439,4.35585,"2634","15.077294789","6.6820276498",16.02803,"20","360:1",216,"69.218522877",4.16033,84567,20327,3162,24.5
"51",41025,2019,"Oregon","Harney","9286.5314318",14.60772,3.86801,4.3384,"2425","15.645506281","6.0931899642",17.29352,"41","178:1",215,"230.49521548",4.0611,82948,20425,3438,22.9
"52",41027,2019,"Oregon","Hood River","4329.4572298",15.71637,3.78711,4.1136,"2669","15.249233836","4.9771457593",20.41331,"83","282:1",518,"147.02702703",3.8405,108375,28219,14359,14.6
"53",41029,2019,"Oregon","Jackson","7071.6714089",13.3009,3.67841,4.3652,"3282","17.689161379","6.5796796735",20.68607,"853","255:1",4959,"334.84498178",4.68504,93668,19993,103952,21
"54",41031,2019,"Oregon","Jefferson","8492.0086611",19.05374,4.36938,4.73423,"2441","18.58224696","7.4664011946",17.41908,"39","609:1",560,"222.19199202",4.01765,88991,22150,10041,26.3
"55",41033,2019,"Oregon","Josephine","9126.2493173",17.09299,4.24822,4.90013,"3067","18.333557628","6.5654008439",16.58148,"644","134:1",1905,"222.53309959",4.71957,79638,16874,35392,26.7
"56",41035,2019,"Oregon","Klamath","9184.5538345",17.18834,4.3049,4.44862,"2814","17.57638561","8.4350323044",18.35933,"293","228:1",1760,"217.60451146",4.52092,84591,18711,29880,25.8
"57",41037,2019,"Oregon","Lake","6428.1607849",17.1515,4.13127,4.50212,"3200","17.262260924","8.7452471483",16.50792,"13","605:1",202,NA,4.45993,69557,15596,3545,23.6
"58",41039,2019,"Oregon","Lane","6430.0487033",13.90718,3.87629,4.15095,"3298","15.209043782","6.7011141611",19.28401,"3004","125:1",8118,"330.47165229",4.82247,93580,19405,182399,18.4
"59",41041,2019,"Oregon","Lincoln","8861.6222224",16.56633,3.9554,4.49184,"3057","16.99791888","7.4666666667",17.75091,"191","256:1",1006,"347.39347672",4.29007,83000,19347,21197,25.8
"60",41043,2019,"Oregon","Linn","6704.5748493",15.32118,4.01983,4.44067,"2672","16.390276478","6.2921348315",16.29129,"189","662:1",2763,"112.0927847",4.11125,91023,22140,57998,18.2
"61",41045,2019,"Oregon","Malheur","8151.3035748",20.53629,4.34026,4.56148,"2801","18.375974962","7.2556264696",16.98155,"138","221:1",590,"225.73755405",4.6505,73929,15897,12618,29.8
"62",41047,2019,"Oregon","Marion","6329.450127",17.19041,3.96063,4.46682,"2932","15.787428502","5.9996116756",17.47266,"1089","313:1",6991,"232.69465542",4.05406,98846,24382,162450,20.4
"63",41049,2019,"Oregon","Morrow","6002.4603135",17.35076,3.84748,4.13764,"2609","15.674749646","6.0552092609",18.12652,"75","149:1",259,"330.80451658",3.43997,89876,26127,5856,18.6
"64",41051,2019,"Oregon","Multnomah","5911.7881808",13.56862,3.48636,3.96929,"2797","15.069742274","6.4261607927",22.05508,"6250","129:1",16606,"474.4613864",5.03729,120074,23837,457151,17.3
"65",41053,2019,"Oregon","Polk","6088.5234598",14.70987,3.66858,4.19521,"2572","14.600231637","5.5315614618",19.59066,"218","384:1",1716,"229.62330392",4.28717,104144,24292,39548,16.4
"66",41055,2019,"Oregon","Sherman",NA,13.99365,3.7021,4.21418,"4343","14.942213921",NA,17.31295,NA,NA,43,"57.87037037",4.47036,87172,19500,897,17.4
"67",41057,2019,"Oregon","Tillamook","7078.8769926",14.53913,3.6045,4.19665,"2343","15.835850427","6.2354312354",17.15563,"66","404:1",501,"97.414616089",4.16951,85846,20589,11786,21.5
"68",41059,2019,"Oregon","Umatilla","7022.9314161",17.68201,3.83864,4.17385,"3314","18.309778868","6.3162240264",18.46566,"255","302:1",1785,"223.27095199",4.27545,90229,21104,36924,19.5
"69",41061,2019,"Oregon","Union","7492.5206488",16.5655,4.03374,4.43709,"3319","17.588720775","7.2",18.01019,"71","369:1",638,"137.35200805",4.56447,92394,20242,12068,17.6
"70",41063,2019,"Oregon","Wallowa","7096.4978231",13.58535,3.69471,4.11762,"2942","14.574195436","6.4439140811",16.95885,"15","470:1",187,"0",4.74127,90857,19163,3359,20.2
"71",41065,2019,"Oregon","Wasco","7426.6013126",14.90786,3.66256,4.14676,"3490","15.255406203","6.3670411985",19.12156,"106","249:1",577,"158.69329618",4.00045,88086,22019,13955,20.8
"72",41067,2019,"Oregon","Washington","4108.8917171",11.95507,3.36045,3.6013,"2715","12.517743414","6.2090038704",20.85054,"2021","291:1",11304,"168.55767765",4.1617,135688,32604,323022,9.4
"73",41069,2019,"Oregon","Wheeler",NA,16.29204,4.09666,4.47087,NA,"15.175028384",NA,14.55893,"3","452:1",29,"183.82352941",4.79125,70235,14659,743,40.2
"74",41071,2019,"Oregon","Yamhill","6271.0037707",14.97995,3.87052,4.2954,"3398","15.933288829","6.2404287902",19.28305,"401","264:1",2060,"127.99672951",4.0429,108281,26783,54567,12.8
"75",41000,2020,"Oregon","state_year","5953.2176989",16.73357,4.22963,4.77692,"2944","16.087814031","6.4419875721",18.59276,"21859","192:1",87365,"248.69464455",4.55499,115091,25267,2104519,15.7
"76",41001,2020,"Oregon","Baker","8172.793566",14.81888,3.9772,4.45835,"926","15.068810597","6.6901408451",18.6312,"103","155:1",383,"264.39391583",4.43414,89645,20217,6976,22.7
"77",41003,2020,"Oregon","Benton","4132.4215312",13.57128,3.97786,4.25624,"1715","13.275460835","5.4263565891",21.28175,"825","112:1",1535,"128.03222998",5.81458,120577,20737,48345,11.9
"78",41005,2020,"Oregon","Clackamas","5147.8419977",11.78893,3.53175,4.085,"2601","13.190996573","5.9104752461",20.00655,"1291","322:1",8248,"160.08826767",4.21017,144413,34301,218998,7.9
"79",41007,2020,"Oregon","Clatsop","7565.5250627",14.68539,3.91045,4.26014,"3597","15.125297774","6.2522077005",19.31864,"115","346:1",795,"163.2782811",4.18045,103600,24782,19344,16
"80",41009,2020,"Oregon","Columbia","6471.6987855",13.55406,3.62765,4.13148,"3654","15.148181216","6.2589721504",19.54341,"187","280:1",1239,"133.21719527",4.06345,108108,26605,24387,13.1
"81",41011,2020,"Oregon","Coos","8531.2882983",16.32785,4.2808,4.58647,"4350","16.724625826","6.309440965",16.79776,"254","254:1",1433,"170.38311388",4.73052,84733,17912,26460,24.1
"82",41013,2020,"Oregon","Crook","7372.3480338",15.98455,4.20962,4.77667,"2519","16.697761325","6.5883887802",18.37388,"106","225:1",566,"345.83479378",3.74707,86280,23026,9464,19.7
"83",41015,2020,"Oregon","Curry","7424.0988932",16.01022,4.2383,4.5911,"2528","15.065972621","6.1274509804",15.39129,"91","251:1",549,"108.04716494",4.86739,93415,19192,8948,22.3
"84",41017,2020,"Oregon","Deschutes","4858.881969",12.97575,3.56961,4.16383,"2198","13.575481588","6.768435506",20.92225,"872","220:1",4020,"168.56831604",4.02674,114585,28456,95367,11.5
"85",41019,2020,"Oregon","Douglas","8762.3272593",15.1276,4.25361,4.80501,"2517","15.478514803","6.9106765328",16.81784,"308","358:1",2505,"218.73791992",4.26049,88631,20803,46374,21.3
"86",41021,2020,"Oregon","Gilliam",NA,13.8575,3.87389,4.37345,"1024","14.094710119","12.096774194",17.30726,"3","631:1",33,"0",3.73305,88115,23604,844,15.8
"87",41023,2020,"Oregon","Grant","8731.5870933",14.09222,4.00003,4.55412,"2897","14.679592238","6.2645011601",17.11234,"25","287:1",225,"69.218522877",4.47632,85247,19044,3099,20
"88",41025,2020,"Oregon","Harney","8762.9058316",15.66321,4.22497,4.69199,"2260","16.275000321","6.3520871143",17.80166,"44","167:1",212,"230.49521548",3.89967,87103,22336,3417,22.5
"89",41027,2020,"Oregon","Hood River","4265.7692975",15.85034,3.93488,4.27092,"2395","14.825855397","5.1109963862",19.49394,"82","286:1",485,"147.02702703",4.02112,117670,29263,14533,14.7
"90",41029,2020,"Oregon","Jackson","6985.2266314",15.84366,4.16407,4.81221,"3165","17.912384445","6.6787341614",20.36556,"985","223:1",5023,"334.84498178",4.62203,98343,21277,104763,21
"91",41031,2020,"Oregon","Jefferson","8303.634828",19.61247,4.80262,4.97806,"2436","18.652056665","7.5987841945",18.161,"56","432:1",559,"222.19199202",3.82848,90065,23525,10241,22.4
"92",41033,2020,"Oregon","Josephine","9222.4092545",16.07374,4.54896,5.09479,"3621","16.984629228","6.685561854",17.2058,"689","127:1",1990,"222.53309959",4.46393,81065,18160,35929,25.2
