"","fips","year","state","county","yrs_potential_life_lost_rate","percent_fair_poor_health","phys_unhealthy_days","mentally_unhealthy_days","preventable_hosp_rate","percent_smokers","low_birthweight","excessive_drinking","mental_health_providers","mental_health_providers_ratio","percent_unemployed","violent_crime_rate","income_ratio","eighty_percentile_income","twenty_percentile_income","labor_force","percent_child_poverty"
"32","06061",2018,"California","Placer","4740.8561038",10.73687,3.05768,3.41009,"30.59","9.715204336","5.6592206598",20.88014,1008,"378:1",7983,"175.94305843",4.5031,144599,32111,179819,7.6
"33","06063",2018,"California","Plumas","9548.6050922",13.77934,3.61164,3.91589,"47.2","12.320644307","8.3557951482",18.029,45,"414:1",759,"502.55595468",4.4505,92597,20806,7873,22.6
"34","06065",2018,"California","Riverside","5587.4210996",19.16146,3.84515,3.5608,"38.58","12.35872909","6.5665723977",19.39338,4142,"576:1",63782,"282.59200148",4.58603,112688,24572,1051815,20.9
"35","06067",2018,"California","Sacramento","6240.3360832",15.44769,3.67345,3.84959,"37.08","12.530326634","6.8393797415",18.90207,5142,"295:1",37318,"523.17345289",4.88863,113734,23265,697427,23.1
"36","06069",2018,"California","San Benito","4752.1158624",18.34788,3.54989,3.53864,"46.91","10.91542333","6.351981352",18.98234,55,"1080:1",2016,"381.56872296",3.96612,129958,32767,29790,14.6
"37","06071",2018,"California","San Bernardino","6562.4666813",19.74832,4.06563,3.93134,"46.44","13.054387954","7.2135207714",17.81358,4156,"515:1",53398,"409.07128727",4.70997,106125,22532,935579,25.7
"38","06073",2018,"California","San Diego","4658.1893905",13.06947,3.16352,3.65477,"29.71","11.122327095","6.4767066668",21.88116,10470,"317:1",73468,"348.80494052",4.84033,132688,27413,1570422,16.4
"39","06075",2018,"California","San Francisco","4568.8082733",11.82612,2.97139,3.23028,"31.94","10.155533526","6.9970147348",23.89842,7401,"118:1",18206,"792.9663169",7.19163,190679,26514,559788,11.3
"40","06077",2018,"California","San Joaquin","7156.0309739",20.41224,3.89583,4.00013,"44.77","12.227716097","7.1466696632",17.8657,1499,"489:1",25729,"780.37898876",4.89177,109879,22462,319187,19.1
"41","06079",2018,"California","San Luis Obispo","5326.4225449",13.12974,3.52952,3.71045,"23.73","11.211894035","5.8641640447",20.51185,1502,"188:1",5982,"379.33171668",4.67949,122584,26196,140365,11.1
"42","06081",2018,"California","San Mateo","3552.4944375",11.52599,2.72621,2.94812,"21.89","9.08424947","6.854074542",16.93583,2547,"300:1",13436,"227.55577148",4.8376,200272,41399,448587,7.7
"43","06083",2018,"California","Santa Barbara","4854.6894658",17.64525,3.8047,3.46119,"24.11","11.187781497","6.1680512461",19.44515,2057,"217:1",10846,"333.29811231",4.82432,131371,27231,216625,16.4
"44","06085",2018,"California","Santa Clara","3621.6544721",11.58074,2.89526,2.90052,"27.7","8.1994312065","6.9438900783",15.92345,5841,"329:1",38620,"253.89988137",5.05243,199394,39465,1026525,10.4
"45","06087",2018,"California","Santa Cruz","5108.3272322",16.36197,3.68722,3.8838,"32.78","11.555175004","5.6251185733",19.96998,1826,"150:1",9971,"394.06109557",5.30609,143811,27103,144525,15.2
"46","06089",2018,"California","Shasta","8811.0861999",14.93934,3.74169,4.12484,"33.36","14.313304766","6.1524774158",18.6641,499,"360:1",5167,"690.62233921",4.62638,91866,19857,74700,24.6
"47","06091",2018,"California","Sierra",NA,13.57903,3.50255,3.8037,"27.08","11.555924008","6.7073170732",18.24343,5,"589:1",102,"380.06298187",5.87244,109057,18571,1349,20.4
"48","06093",2018,"California","Siskiyou","9534.1354351",17.31187,4.08893,4.24933,"28.51","14.595130417","7.7663870767",16.46142,167,"261:1",1515,"269.1921972",4.5604,77887,17079,17917,27.3
"49","06095",2018,"California","Solano","6346.8528998",14.83002,3.36344,3.58692,"31.98","11.765097884","6.6863921688",18.07655,1495,"294:1",11355,"467.65987145",4.37718,128501,29357,207882,16.2
"50","06097",2018,"California","Sonoma","4720.2849108",13.01989,3.40571,3.80926,"28.42","11.151103724","5.7181260676",19.33686,2082,"242:1",10296,"362.58669821",4.44278,130640,29405,260479,11.2
"51","06099",2018,"California","Stanislaus","7148.4687337",18.83068,3.85054,3.93233,"53.79","12.659456408","6.2823231759",17.79377,993,"545:1",20845,"533.08219295",4.64537,101557,21862,244500,19.1
"52","06101",2018,"California","Sutter","6684.0696037",18.24106,3.81475,3.72483,"49.56","13.071246507","6.3056218797",16.92001,257,"376:1",4347,"305.91055426",4.8372,104648,21634,45327,24.8
"53","06103",2018,"California","Tehama","7581.91279",18.73571,4.23454,4.29424,"37.06","14.741324099","6.0203139428",18.78625,103,"614:1",1788,"537.58370273",4.34188,82487,18998,25201,28.8
"54","06105",2018,"California","Trinity","10404.512145",17.35416,4.21129,4.36405,"49.45","15.334945562","5.641025641",16.4621,53,"241:1",358,"208.54801511",5.24706,81340,15502,5067,30.9
"55","06107",2018,"California","Tulare","7224.8713177",26.61325,4.45064,4.01791,"54.54","15.773391503","6.4844329133",17.78236,1086,"424:1",22627,"445.77511157",4.74134,87307,18414,205909,32.7
"56","06109",2018,"California","Tuolumne","7008.0574711",13.84355,3.48213,3.70358,"27.85","12.298731619","5.8294573643",19.09234,77,"699:1",1345,"220.22107988",4.47221,96470,21571,21858,20.4
"57","06111",2018,"California","Ventura","4711.9914243",14.94541,3.29672,3.4978,"37.14","10.64246705","6.1671232877",18.82616,2781,"306:1",22149,"205.01586767",4.36712,149504,34234,427785,12.5
"58","06113",2018,"California","Yolo","5383.6180185",16.22095,3.68405,3.75176,"24.92","11.683609787","5.7548005908",19.46963,722,"299:1",6146,"317.39743842",5.9316,123840,20878,106271,15.2
"59","06115",2018,"California","Yuba","8548.2575844",18.17917,4.07363,4.01641,"61.3","14.855976634","6.1015753586",18.68218,133,"566:1",2411,"386.93054755",4.36576,92087,21093,28319,23.8
"60","06000",2019,"California","state_year","5264.3594587",17.52659,3.51077,3.53717,"3507","10.972928107","6.7884518198",17.81262,129604,"305:1",918883,"420.87688216",5.25496,139246,26498,19311960,18.1
"61","06001",2019,"California","Alameda","4497.4517815",12.6865,3.05057,3.34591,"3047","10.673532728","7.2838529927",19.58503,9603,"173:1",30902,"628.78196249",5.31139,171627,32313,848335,10.5
"62","06003",2019,"California","Alpine",NA,16.95788,4.12516,4.36402,NA,"14.802252866",NA,17.414,5,"224:1",33,"442.47787611",5.43835,122167,22464,538,35.3
