"","fips","year","state","county","combined_ypll_rate","percent_fair_or_poor_health","average_number_of_physically_unhealthy_days","mental_health_provider_rate","average_number_of_mentally_unhealthy_days","smokers","excessive_drinking","unemployed","labor_force","violent_crime_rates","income_ratio","severe_housing_problems"
"49",6021,2014,"California","Glenn",6818.69,28.3,NA,NA,NA,15,17,1884,12841,226.09781,NA,20.08282
"50",6023,2014,"California","Humboldt",8292.81,12,NA,NA,NA,18.6,22,6287,60144,377.80886,NA,24.56011
"51",6025,2014,"California","Imperial",5671.83,29,NA,NA,NA,12.4,15.8,22132,78282,326.13391,NA,27.81947
"52",6027,2014,"California","Inyo",7069.9,NA,NA,NA,NA,NA,NA,878,9375,399.6096,NA,20.42607
"53",6029,2014,"California","Kern",7630.65,23.7,NA,NA,NA,16,15.7,52681,396657,567.89111,NA,26.7743
"54",6031,2014,"California","Kings",6372.2,26.9,NA,NA,NA,12.5,14.7,9321,60886,385.72953,NA,23.82711
"55",6033,2014,"California","Lake",9804.3,20.4,NA,NA,NA,24.5,20.7,3834,25519,460.41929,NA,25.85385
"56",6035,2014,"California","Lassen",6849.01,18.2,NA,NA,NA,18.1,20.5,1650,13083,318.85746,NA,22.6764
"57",6037,2014,"California","Los Angeles",5463.8,22.4,NA,NA,NA,12.3,15.4,533951,4879674,510.18651,NA,34.23237
"58",6039,2014,"California","Madera",6693.97,31.1,NA,NA,NA,13.8,15,9295,68167,470.55199,NA,28.4747
"59",6041,2014,"California","Marin",3781.84,9.7,NA,NA,NA,9.7,22,8861,140287,209.69741,NA,23.86469
"60",6043,2014,"California","Mariposa",7309.04,16.5,NA,NA,NA,20.4,18,1038,9446,255.82458,NA,18.25243
"61",6045,2014,"California","Mendocino",7974.89,16,NA,NA,NA,18.2,24.1,4153,42776,567.74046,NA,28.69818
"62",6047,2014,"California","Merced",6726.27,23,NA,NA,NA,11.7,14.2,18935,111322,590.94925,NA,28.78983
"63",6049,2014,"California","Modoc",9030.27,NA,NA,NA,NA,NA,NA,529,3932,241.14913,NA,17.48428
"64",6051,2014,"California","Mono",3891.45,NA,NA,NA,NA,NA,25.9,871,8301,380.25576,NA,22.70577
"65",6053,2014,"California","Monterey",5215.88,24,NA,NA,NA,12.5,15.4,25743,226510,491.46971,NA,30.09243
"66",6055,2014,"California","Napa",5308.86,16.7,NA,NA,NA,8.5,23.7,6080,77843,411.92553,NA,25.6405
"67",6057,2014,"California","Nevada",5603.85,9.2,NA,NA,NA,14.1,17.1,4753,50742,293.2482,NA,23.26991
"68",6059,2014,"California","Orange",4395.91,14.5,NA,NA,NA,10.9,17.2,122716,1618677,229.72899,NA,28.47776
"69",6061,2014,"California","Placer",4802.13,8.7,NA,NA,NA,8.1,16.4,16824,178818,217.8184,NA,19.20561
"70",6063,2014,"California","Plumas",7082.1,NA,NA,NA,NA,14.4,18.3,1396,9478,552.97098,NA,22.59663
"71",6065,2014,"California","Riverside",5959.58,19.5,NA,NA,NA,14.6,17.5,115639,944458,314.54105,NA,28.27614
"72",6067,2014,"California","Sacramento",6446.86,13.9,NA,NA,NA,14.6,18,71834,680349,586.94763,NA,23.19371
