"","fips","year","state","county","combined_ypll_rate","percent_fair_or_poor_health","average_number_of_physically_unhealthy_days","mental_health_provider_rate","average_number_of_mentally_unhealthy_days","smokers","excessive_drinking","unemployed","labor_force","violent_crime_rates","income_ratio","severe_housing_problems"
"388",53037,2016,"Washington","Kittitas",5446,15.3,NA,129.34481,NA,15.7,20.9,1424,20003,132.52054,"5.4941570298000002",24.60606
"389",53039,2016,"Washington","Klickitat",6691.5,15.5,NA,134.22175,NA,15.2,18.1,809,9721,87.30095,"3.4246427491999998",18.80651
"390",53041,2016,"Washington","Lewis",7015.4,15,NA,175.70014,NA,15.3,18.5,2862,31011,222.48368,"4.1274082970999997",17.14431
"391",53043,2016,"Washington","Lincoln",5955.6,12.5,NA,48.78049,NA,12.8,18.2,306,5048,84.67932,"4.1424596296000002",12.90672
"392",53045,2016,"Washington","Mason",7560.6,15,NA,84.00455,NA,15.5,19.3,1988,23292,284.83369,"4.2639564287000002",16.39098
"393",53047,2016,"Washington","Okanogan",7228.6,20.3,NA,244.61129,NA,17.9,16.6,1568,21256,194.81251,"4.5305136311999998",16.77255
"394",53049,2016,"Washington","Pacific",8263.9,16.7,NA,189.67949,NA,15,15.9,816,8056,127.95602,"4.4564922423000004",16.07048
"395",53051,2016,"Washington","Pend Oreille",9625.5,16.5,NA,123.2191,NA,15.8,16.7,476,4623,132.41998,"4.5395813281999997",18.12328
"396",53053,2016,"Washington","Pierce",6356.9,14.3,NA,347.26563,NA,16.7,20,27672,383905,443.24511,"4.0710107670999998",19.17751
"397",53055,2016,"Washington","San Juan",5025.8,12.1,NA,343.42804,NA,12.1,17.8,399,7657,96.26653,"4.4334835586999999",25.04708
"398",53057,2016,"Washington","Skagit",6021.8,14.6,NA,265.85802,NA,14.9,18.9,4164,56596,202.02703,"4.2798492004000002",18.94447
"399",53059,2016,"Washington","Skamania",6077.8,14.4,NA,114.63845,NA,14.9,18.8,434,4978,104.34783,"5.4821735394999997",19.29224
"400",53061,2016,"Washington","Snohomish",5108,12.9,NA,230.12627,NA,12.9,17.7,20328,395313,207.66959,"3.9000317763000001",18.15338
"401",53063,2016,"Washington","Spokane",6494.7,13.7,NA,222.78751,NA,15.5,20.6,16080,225031,352.60131,"4.5544454585",16.40385
"402",53065,2016,"Washington","Stevens",7780.4,15.3,NA,235.96793,NA,17,18.9,1659,17562,103.74235,"4.0921953901999997",16.55798
"403",53067,2016,"Washington","Thurston",5472.6,12.6,NA,180.17611,NA,14.3,19.2,8184,123119,230.46067,"3.9061520933999998",17.03468
"404",53069,2016,"Washington","Wahkiakum",11719.3,15.6,NA,295.05778,NA,14,16.6,135,1359,91.30146,"4.0546297886999998",12.35294
"405",53071,2016,"Washington","Walla Walla",5985.1,16.1,NA,217.23147,NA,14.1,20.3,1844,28297,256.91832,"4.6595301058",16.65504
"406",53073,2016,"Washington","Whatcom",5047.2,13.7,NA,357.56968,NA,13.6,21.8,6769,101872,208.64152,"4.7419416638999996",20.31043
"407",53075,2016,"Washington","Whitman",4584.7,16.7,NA,136.67329,NA,17.6,22.6,1214,22059,120.96565,"7.6871355059999997",26.0274
"408",53077,2016,"Washington","Yakima",6796.5,23.1,NA,220.03577,NA,16.9,18.9,10648,119318,340.74843,"4.2376513980999997",20.56492
"409",41000,2017,"Oregon","state_year",5997.7,18.33769,NA,402.40984,NA,17.11839,18.78188,112354,1969467,244.59186,"4.6552364159000001",20.51825
"410",41001,2017,"Oregon","Baker",7239.1,14.93434,NA,468.60356,NA,15.74378,17.49156,462,6691,216.42769,"4.5879800262000003",17.76685
"411",41003,2017,"Oregon","Benton",4685.3,14.14776,NA,693.14393,NA,14.36414,18.99288,1945,45171,119.28872,"6.0409822279999998",22.73476
"412",41005,2017,"Oregon","Clackamas",5019.7,12.4112,NA,235.60764,NA,13.96637,21.25112,10651,204481,96.30553,"4.1279571341999999",19.08207
"413",41007,2017,"Oregon","Clatsop",8176.8,14.60554,NA,229.97013,NA,16.17873,18.50263,1017,18301,139.89533,"4.2795993136000003",22.8254
"414",41009,2017,"Oregon","Columbia",7048.5,14.82495,NA,229.83871,NA,14.99977,18.64615,1651,22896,102.19446,"4.3535547505999999",15.23335
"415",41011,2017,"Oregon","Coos",8215.8,17.93495,NA,289.91936,NA,18.35991,18.66301,1957,25914,165.1892,"4.4211510617999998",17.89413
"416",41013,2017,"Oregon","Crook",6160.4,17.07528,NA,397.59593,NA,16.19077,16.88197,761,8934,223.66004,"4.1882281486000004",20.43919
"417",41015,2017,"Oregon","Curry",9663.5,15.23182,NA,262.4205,NA,14.35471,16.12384,732,8630,105.77678,"4.4023254501000002",19.26606
"418",41017,2017,"Oregon","Deschutes",5206.5,12.94891,NA,350.89121,NA,15.56308,20.34609,5024,84185,213.38608,"4.3586865986000003",22.59563
"419",41019,2017,"Oregon","Douglas",8308.3,16.09663,NA,233.08725,NA,16.56302,18.85812,3388,44255,171.19896,"4.3142670370999996",17.60748
"420",41021,2017,"Oregon","Gilliam",NA,14.08643,NA,107.58472,NA,14.16911,17.6542,53,810,16.91189,"4.2643094151999996",10.73446
"421",41023,2017,"Oregon","Grant",4678.9,15.66805,NA,208.76827,NA,15.38746,16.51124,273,3077,22.70044,"5.0664830590000003",14.00602
"422",41025,2017,"Oregon","Harney",9700.6,15.93215,NA,444.44444,NA,16.37196,17.7352,241,3301,64.50127,"3.7630972338999999",13.96469
"423",41027,2017,"Oregon","Hood River",5029.6,16.64425,NA,280.9353,NA,14.78921,20.297,644,13576,167.46474,"3.8890999762999998",14.5488
"424",41029,2017,"Oregon","Jackson",6708.2,16.30768,NA,294.96582,NA,17.11908,18.116,6751,97648,326.44283,"4.5639202266999996",23.94154
"425",41031,2017,"Oregon","Jefferson",8921.2,18.90696,NA,141.18062,NA,18.52335,18.40524,712,9613,132.60759,"3.4895382555999999",20.62183
"426",41033,2017,"Oregon","Josephine",8416.4,16.80026,NA,620.68559,NA,19.35865,17.01451,2605,33162,219.15555,"4.4869974948999998",23.96045
"427",41035,2017,"Oregon","Klamath",8789.5,18.16249,NA,301.44207,NA,18.574,19.19697,2273,28444,219.58091,"4.5144800226999999",19.75895
"428",41037,2017,"Oregon","Lake",7740.2,17.13908,NA,140.50326,NA,17.49616,17.386,271,3458,NA,"3.9732342006999999",17.67181
"429",41039,2017,"Oregon","Lane",6512,15.53501,NA,697.17136,NA,15.84447,19.59512,10194,171388,246.24322,"4.9077267637000004",22.12063
"430",41041,2017,"Oregon","Lincoln",8368.4,16.13417,NA,282.75012,NA,17.14668,17.01719,1386,20484,326.86077,"4.3151556946999996",19.19675
"431",41043,2017,"Oregon","Linn",6765.3,17.14382,NA,127.751,NA,17.34716,18.17272,3760,54608,102.83638,"4.2487158414000001",18.00089
"432",41045,2017,"Oregon","Malheur",6827,21.97298,NA,342.33048,NA,17.83446,18.74772,772,11964,283.53326,"5.173485501",22.10163
"433",41047,2017,"Oregon","Marion",5958.4,15.38533,NA,285.75748,NA,14.67968,17.28976,9293,152400,234.90559,"4.0882245715999996",21.54742
"434",41049,2017,"Oregon","Morrow",5967.8,17.50518,NA,482.57373,NA,15.05166,19.11676,320,5528,156.10273,"3.5836897397",17.37968
"435",41051,2017,"Oregon","Multnomah",6144,14.22181,NA,671.77531,NA,15.52868,22.91667,21350,427659,475.52965,"5.0595427715000003",22.19716
"436",41053,2017,"Oregon","Polk",5690.1,14.21395,NA,227.98554,NA,14.74541,18.64072,2084,36384,240.08875,"4.5343599172999998",19.12181
"437",41055,2017,"Oregon","Sherman",NA,15.43837,NA,NA,NA,15.75469,17.19682,56,890,96.48784,"5.6869641530999999",21.21212
"438",41057,2017,"Oregon","Tillamook",6909.4,15.42957,NA,233.89077,NA,16.38654,17.43267,653,11314,92.95627,"3.9346663334",16.70738
"439",41059,2017,"Oregon","Umatilla",6596.4,17.39081,NA,261.33201,NA,17.27676,19.48187,2288,35196,173.6829,"4.2762509849999999",17.19948
"440",41061,2017,"Oregon","Union",6533.1,15.62037,NA,255.91314,NA,16.35311,19.47151,737,11635,141.14978,"4.7143016759999998",19.34538
"441",41063,2017,"Oregon","Wallowa",6978,13.38049,NA,160.44341,NA,14.45443,17.60607,257,3255,14.46132,"4.6793726977999999",17.69616
"442",41065,2017,"Oregon","Wasco",7923,17.43113,NA,322.01746,NA,17.2506,18.45476,741,12979,118.67347,"3.7959788751999999",16.90947
"443",41067,2017,"Oregon","Washington",4323,13.11321,NA,254.03691,NA,12.31665,20.49118,14287,299458,148.8935,"4.2173199822000003",18.33028
"444",41069,2017,"Oregon","Wheeler",NA,16.00161,NA,220.91311,NA,14.72572,15.38042,37,705,358.29452,"4.5235039848999996",14.4
"445",41071,2017,"Oregon","Yamhill",5417,17.00327,NA,323.40077,NA,15.4214,20.45923,2728,51073,128.37267,"4.1926232905000003",19.40539
"446",6000,2017,"California","state_year",5213.2,17.75899,NA,288.7713,NA,11.67836,17.98232,1183155,18981771,407.01202,"5.2113003096000003",28.18594
"447",6001,2017,"California","Alameda",4767.5,11.13082,NA,515.5001,NA,9.87341,16.94588,39133,824809,720.31393,"5.3667531374999999",24.45649
"448",6003,2017,"California","Alpine",NA,17.15019,NA,540.54054,NA,15.62926,17.4439,41,520,529.56752,"5.4413212293999997",16.4557
"449",6005,2017,"California","Amador",6117.9,12.60503,NA,183.77882,NA,11.4865,19.06354,956,14404,278.86374,"4.6127934061999998",21.24825
"450",6007,2017,"California","Butte",7438,16.39279,NA,518.60823,NA,14.50947,20.91616,7334,101731,298.55568,"5.2883279296000003",23.19165
"451",6009,2017,"California","Calaveras",7209.5,12.3961,NA,147.22941,NA,11.74828,19.09223,1330,20614,255.66324,"4.9492766646000002",19.7861
"452",6011,2017,"California","Colusa",5432.4,20.2235,NA,167.58216,NA,13.0018,18.0311,1718,11193,199.59771,"3.6642467527",18.01605
"453",6013,2017,"California","Contra Costa",4712.1,12.05072,NA,301.13291,NA,10.61901,18.01611,27530,549948,366.02249,"4.8766307517999996",22.61643
"454",6015,2017,"California","Del Norte",8297.8,17.77422,NA,377.92618,NA,15.3907,18.75832,853,9915,582.28444,"5.4932027189000001",25.22147
"455",6017,2017,"California","El Dorado",5220.8,12.00299,NA,278.12114,NA,11.25937,19.38731,5051,89121,227.60607,"4.9195099690999999",21.30073
"456",6019,2017,"California","Fresno",6895.5,22.92291,NA,275.62904,NA,13.62687,17.6718,45262,444168,507.12096,"5.0926025626999998",28.73089
"457",6021,2017,"California","Glenn",6667.4,19.90697,NA,114.21637,NA,14.28177,17.01059,1145,13110,419.23756,"5.5765657587000002",21.1838
"458",6023,2017,"California","Humboldt",8768.6,15.71548,NA,357.33494,NA,15.92898,20.894,3525,62633,331.97064,"4.8036697247999998",25.94052
"459",6025,2017,"California","Imperial",5550.5,27.06974,NA,113.76817,NA,13.77491,17.33285,18945,78910,311.04017,"6.0073946917000001",27.12058
"460",6027,2017,"California","Inyo",6743,14.72773,NA,345.01643,NA,12.3464,18.10628,535,9181,473.88261,"4.5863786580000001",18.98413
"461",6029,2017,"California","Kern",7474.9,22.68649,NA,153.71082,NA,14.55685,16.70431,40212,393764,554.9864,"4.9180781195999996",25.96075
"462",6031,2017,"California","Kings",6280.3,22.58207,NA,170.90054,NA,15.23436,19.95063,6120,58354,477.85029,"4.4149140497000001",25.2176
"463",6033,2017,"California","Lake",10636.6,18.18203,NA,335.96012,NA,14.97929,16.95351,2235,29140,539.11013,"5.1136098508999996",28.48519
"464",6035,2017,"California","Lassen",6199.9,14.38215,NA,293.50774,NA,14.07287,22.78285,792,10891,400.8157,"4.4042346182000003",18.95425
"465",6037,2017,"California","Los Angeles",4943.4,19.18373,NA,272.01776,NA,11.70027,18.54166,336860,5011707,423.78904,"5.4175175856999997",34.62559
"466",6039,2017,"California","Madera",6855.4,22.7541,NA,130.96943,NA,14.95498,16.57157,6357,60566,616.29101,"4.4690424048999997",27.1904
"467",6041,2017,"California","Marin",3625.3,10.97889,NA,674.90745,NA,9.97947,21.07039,4999,141123,184.90981,"5.6206992462000001",24.06958
"468",6043,2017,"California","Mariposa",8131.5,13.62832,NA,211.0547,NA,12.20886,18.5002,583,8084,419.26388,"4.6354136844999996",19.47514
"469",6045,2017,"California","Mendocino",8048.9,16.80777,NA,497.43865,NA,13.36413,18.8762,2354,40207,509.63057,"4.8895444488999997",27.58264
"470",6047,2017,"California","Merced",6664.3,26.87007,NA,126.65065,NA,15.33299,17.1934,13063,115086,614.38103,"4.6250200480999997",26.2432
"471",6049,2017,"California","Modoc",11461.3,16.75427,NA,267.70775,NA,13.96852,16.70239,287,3276,670.63549,"4.4569259281000004",19.07152
"472",6051,2017,"California","Mono",3666.3,14.32888,NA,194.11892,NA,12.92562,21.1687,512,8336,253.82484,"3.0689014736",22.10626
"473",6053,2017,"California","Monterey",4955.1,22.24583,NA,271.49238,NA,11.19984,17.75551,17875,221383,425.44853,"4.3023946467999998",30.90967
"474",6055,2017,"California","Napa",4437.9,14.10453,NA,429.60633,NA,11.71699,19.12515,3442,74752,340.79717,"4.5320382062000002",24.49929
"475",6057,2017,"California","Nevada",6121.7,12.15711,NA,565.34887,NA,11.95747,19.01085,2644,48444,331.99613,"4.3039996875000002",23.0544
"476",6059,2017,"California","Orange",4118.2,14.9682,NA,211.65533,NA,10.27058,17.6507,71507,1597071,203.94792,"4.8122926767000003",28.43969
"477",6061,2017,"California","Placer",4665.6,11.65728,NA,245.0778,NA,10.13079,17.62884,8988,178176,175.94306,"4.5265978175999999",20.21701
"478",6063,2017,"California","Plumas",8975.7,14.11178,NA,233.5814,NA,12.57468,17.26117,823,7946,502.55595,"4.7989546286999998",21.23402
"479",6065,2017,"California","Riverside",5550.3,20.16635,NA,156.75389,NA,13.38756,18.33455,69645,1035178,282.592,"4.5926358367000004",27.49563
"480",6067,2017,"California","Sacramento",6192.2,17.06561,NA,322.846,NA,12.90175,18.69972,41375,688999,523.17345,"4.8975366414000003",23.9258
"481",6069,2017,"California","San Benito",4905.5,17.67753,NA,85.04558,NA,11.5444,19.61733,2270,29763,381.56872,"3.9782925542999998",27.71403
"482",6071,2017,"California","San Bernardino",6498.8,22.17671,NA,180.86276,NA,14.24624,16.27718,59848,926641,409.07129,"4.7276895142999997",28.18275
"483",6073,2017,"California","San Diego",4745.8,14.94782,NA,297.92203,NA,10.79845,19.7335,81308,1563836,348.80494,"4.8771072469999996",26.17454
"484",6075,2017,"California","San Francisco",4730.6,12.73861,NA,815.20231,NA,9.9092,23.01169,19930,548004,792.96632,"7.1032630481999997",26.92814
"485",6077,2017,"California","San Joaquin",6995.4,19.00726,NA,189.50401,NA,13.18819,18.29475,28127,316903,780.37899,"4.8876039857000002",27.24932
"486",6079,2017,"California","San Luis Obispo",5449.1,13.75423,NA,504.61797,NA,11.86399,20.27151,6648,143293,379.33172,"4.7691903047000004",24.52645
"487",6081,2017,"California","San Mateo",3537.7,10.88229,NA,310.79483,NA,8.66159,17.96306,15002,441966,227.55577,"4.748273524",24.47081
"488",6083,2017,"California","Santa Barbara",4881.6,18.36877,NA,442.70172,NA,11.46675,19.19457,11608,220001,333.29811,"4.8532700779000004",29.56887
"489",6085,2017,"California","Santa Clara",3660.7,11.55229,NA,281.58895,NA,8.4478,16.19526,42316,1018407,253.89988,"5.0616628421999996",24.2281
"490",6087,2017,"California","Santa Cruz",5213.4,15.69215,NA,615.36554,NA,11.47269,20.29621,10816,144248,394.0611,"5.2594941516000002",27.4103
"491",6089,2017,"California","Shasta",8514.8,14.41407,NA,257.89131,NA,13.65401,17.20681,5842,74858,690.62234,"4.7179473766999998",22.66599
"492",6091,2017,"California","Sierra",NA,14.09687,NA,168.52039,NA,12.12005,16.98924,121,1351,380.06298,"5.8392867001999997",19.52191
"493",6093,2017,"California","Siskiyou",8974.3,16.74964,NA,344.40006,NA,14.29573,17.52011,1694,18064,269.1922,"4.6137302027000002",23.87329
"494",6095,2017,"California","Solano",6338.8,15.53032,NA,317.59354,NA,11.58608,19.07518,12650,206604,467.65987,"4.3884573477000002",22.97035
"495",6097,2017,"California","Sonoma",4690.1,13.97171,NA,388.53242,NA,11.55567,20.02245,11680,260344,362.5867,"4.4779664622000004",24.69837
"496",6099,2017,"California","Stanislaus",7078.3,19.6668,NA,172.55214,NA,14.41829,17.52639,23073,242710,533.08219,"4.6469946908999997",27.11448
"497",6101,2017,"California","Sutter",6622.1,18.04244,NA,253.98339,NA,12.40716,16.80223,4824,44824,305.91055,"4.8051394869999999",25.1379
"498",6103,2017,"California","Tehama",7473,17.33416,NA,157.95792,NA,13.93319,17.36147,2004,25190,537.5837,"4.4159068148999996",19.01604
"499",6105,2017,"California","Trinity",10873.3,16.2509,NA,428.49491,NA,14.5448,16.85574,407,5216,208.54802,"4.8418871145000004",20.194
"500",6107,2017,"California","Tulare",6922.3,26.25217,NA,218.7608,NA,14.37819,16.77968,23721,203392,445.77511,"4.7370172375999999",28.13734
"501",6109,2017,"California","Tuolumne",6985.5,13.40887,NA,137.77952,NA,13.12003,19.76529,1541,21627,220.22108,"4.2426011403999997",22.49716
"502",6111,2017,"California","Ventura",4612.3,15.08224,NA,302.04483,NA,9.92019,17.31042,24435,429784,205.01587,"4.3725031491999999",25.09969
"503",6113,2017,"California","Yolo",5210.6,16.2539,NA,329.08326,NA,11.87879,19.01543,6659,103868,317.39744,"5.8340212694",24.24479
"504",6115,2017,"California","Yuba",7914.2,18.33961,NA,150.35172,NA,15.38217,18.58957,2600,28137,386.93055,"4.2878689830000001",24.81481
"505",53000,2017,"Washington","state_year",5529.2,14.30331,NA,274.90983,NA,14.9701,17.84734,200251,3544243,289.89561,"4.5023611164000004",18.17829
"506",53001,2017,"Washington","Adams",5739.1,24.89495,NA,140.2306,NA,16.2025,16.34129,590,8665,298.73558,"3.7333333333000001",22.47387
"507",53003,2017,"Washington","Asotin",6714.3,15.64778,NA,262.38408,NA,15.5239,17.81877,457,9727,234.64292,"4.4391668783",14.07285
"508",53005,2017,"Washington","Benton",5238.6,14.16256,NA,175.50405,NA,13.73292,20.43815,6026,91650,213.93748,"4.4839776396",13.18614
"509",53007,2017,"Washington","Chelan",5751.7,15.18674,NA,224.73693,NA,13.14002,16.78677,2347,42983,149.2912,"4.3729620480999998",17.37693
"510",53009,2017,"Washington","Clallam",6705.6,14.05784,NA,244.94462,NA,14.89987,16.42172,2146,26842,261.98344,"4.1890429489000001",15.90135
"511",53011,2017,"Washington","Clark",5617.6,12.40197,NA,259.85049,NA,14.72255,18.84461,13572,213480,208.21378,"3.8547427371",17.34601
"512",53013,2017,"Washington","Columbia",NA,15.80284,NA,177.48479,NA,16.72909,15.27847,110,1721,82.70615,"4.3432795260999999",16.9697
"513",53015,2017,"Washington","Cowlitz",7618.4,15.77797,NA,221.32447,NA,17.37523,18.07395,3359,44276,301.79289,"4.5021803766000001",18.52273
"514",53017,2017,"Washington","Douglas",5276.6,16.54623,NA,29.60478,NA,16.54506,18.36083,1241,19808,94.97155,"3.5984710178000001",17.81753
"515",53019,2017,"Washington","Ferry",10070.5,19.4941,NA,237.40438,NA,19.4658,17.01184,251,2469,154.83871,"5.1579126644000004",15.59322
"516",53021,2017,"Washington","Franklin",4898,20.57627,NA,108.09959,NA,15.84646,18.4874,2915,38952,237.20035,"3.8836263021000001",21.64641
"517",53023,2017,"Washington","Garfield",NA,13.77765,NA,45.06534,NA,16.06483,17.4672,57,927,177.27877,"3.8528557599000002",12.37113
"518",53025,2017,"Washington","Grant",6376.8,20.00569,NA,164.05923,NA,16.23805,17.89245,3223,45494,292.33785,"3.9482246493000002",17.16095
"519",53027,2017,"Washington","Grays Harbor",8437.8,16.39219,NA,130.76123,NA,18.69991,17.96989,2408,26909,211.08081,"4.5164532853999999",16.90089
"520",53029,2017,"Washington","Island",5140.7,11.42232,NA,272.97656,NA,13.91721,18.24266,1924,31880,111.59774,"4.0248730206000003",15.69724
"521",53031,2017,"Washington","Jefferson",5624.8,11.63516,NA,305.25832,NA,13.54327,16.36197,791,11171,245.58609,"4.4317682121999997",19.63768
"522",53033,2017,"Washington","King",4571.3,10.16292,NA,314.95542,NA,10.11554,22.00571,52307,1177297,332.08499,"4.7473373539999999",18.72777
"523",53035,2017,"Washington","Kitsap",5529.1,11.92346,NA,239.87914,NA,13.76221,19.28671,6315,115211,267.89798,"4.0261161417000002",16.06228
"524",53037,2017,"Washington","Kittitas",5106.1,14.97031,NA,140.97853,NA,16.13981,19.2261,1279,20817,115.68755,"5.3627591993000001",24.63724
"525",53039,2017,"Washington","Klickitat",6870.6,15.36203,NA,123.65643,NA,15.13185,18.35241,675,9447,87.49881,"3.6556195964999998",17.20698
"526",53041,2017,"Washington","Lewis",6887.5,15.70716,NA,197.67534,NA,17.58052,17.33368,2588,31115,197.86978,"4.2914291479999997",17.30737
"527",53043,2017,"Washington","Lincoln",6662.2,13.74687,NA,48.44492,NA,14.7039,19.0363,282,4882,83.09895,"4.1631460883999996",12.79461
"528",53045,2017,"Washington","Mason",7490.7,15.87989,NA,104.87849,NA,16.7579,20.44364,1783,23303,230.69623,"4.4864691990000001",16.93065
"529",53047,2017,"Washington","Okanogan",6760.7,19.58196,NA,255.32325,NA,19.4807,17.69644,1459,21150,189.41522,"4.5582945095999996",17.70964
"530",53049,2017,"Washington","Pacific",7537.7,15.94952,NA,211.05142,NA,16.91001,15.76581,719,7880,144.80162,"4.4667472063",16.33743
"531",53051,2017,"Washington","Pend Oreille",9589.1,16.60332,NA,152.81174,NA,16.98223,15.84857,437,4624,112.75113,"4.8042357274",17.95807
"532",53053,2017,"Washington","Pierce",6393.4,13.57612,NA,371.46574,NA,14.55221,18.63529,24827,391963,435.79657,"4.0596486047999996",18.79418
"533",53055,2017,"Washington","San Juan",5266.6,11.34863,NA,350.72606,NA,12.7551,18.85087,368,7675,73.11469,"4.4304821529999998",24.50032
"534",53057,2017,"Washington","Skagit",5822.2,13.62857,NA,283.96501,NA,14.56089,18.48468,3791,56856,204.1295,"4.3815711252999998",18.84314
"535",53059,2017,"Washington","Skamania",5309,14.22595,NA,123.46768,NA,15.36218,19.07661,364,5016,129.90464,"5.3907957122000001",18.8764
"536",53061,2017,"Washington","Snohomish",5084.9,12.59179,NA,264.07733,NA,12.95194,18.36933,19401,401742,191.24654,"3.9342703856000001",18.17319
"537",53063,2017,"Washington","Spokane",6541.1,13.14343,NA,243.40812,NA,15.39056,18.03749,14639,227976,362.5767,"4.5251963978000003",16.68444
"538",53065,2017,"Washington","Stevens",7596.7,15.08211,NA,260.32746,NA,17.13399,16.81963,1541,17594,98.31343,"4.1572707976999999",17.16144
"539",53067,2017,"Washington","Thurston",5329.8,13.00607,NA,207.76445,NA,14.50263,19.15219,7425,125603,213.99192,"3.8966044988999999",16.95437
"540",53069,2017,"Washington","Wahkiakum",10996.5,14.16781,NA,197.92182,NA,14.12531,15.55263,115,1268,57.74625,"4.2097382370999998",16.61808
"541",53071,2017,"Washington","Walla Walla",6530.2,15.56558,NA,230.36892,NA,14.50725,19.52715,1632,28157,214.58631,"4.7256302950000002",16.30911
"542",53073,2017,"Washington","Whatcom",5131.2,12.83513,NA,381.09325,NA,14.11357,19.73078,6110,102918,199.90343,"4.7435426094000004",20.67074
"543",53075,2017,"Washington","Whitman",4868.1,15.96305,NA,132.84347,NA,16.22609,21.15066,1061,22743,147.58653,"7.1948364335999999",24.4812
"544",53077,2017,"Washington","Yakima",7106.1,23.46791,NA,231.88522,NA,16.88509,16.8951,9716,122052,297.54894,"4.0139749316",21.74322
"545",41000,2018,"Oregon","state_year",6016.41485,15.82219,NA,441.72846,NA,16.21089,18.53224,100296,2055120,244.59186,"4.6353805072999998",20.48897
"546",41001,2018,"Oregon","Baker",7917.57885,13.87871,NA,510.6171,NA,15.2864,18.08994,449,6972,216.42769,"4.3510939370999999",18.1376
"547",41003,2018,"Oregon","Benton",4243.25082,13.24667,NA,732.78514,NA,14.02861,20.35584,1837,46888,119.28872,"6.0061130646000001",23.40075
"548",41005,2018,"Oregon","Clackamas",5185.54817,10.37175,NA,256.57866,NA,12.98751,20.77303,9461,213012,96.30553,"4.1185361461000003",18.38427
"549",41007,2018,"Oregon","Clatsop",7940.75482,14.30096,NA,248.49865,NA,16.12975,19.05423,908,19043,139.89533,"4.3423340540000002",21.02255
"550",41009,2018,"Oregon","Columbia",6760.1488,12.86892,NA,271.73378,NA,15.29471,19.39378,1460,23494,102.19446,"4.4377598753000003",14.38466
"551",41011,2018,"Oregon","Coos",8650.0109,17.21495,NA,318.37644,NA,19.28271,17.1439,1719,26521,165.1892,"4.4930859235999998",17.93384
"552",41013,2018,"Oregon","Crook",7247.70242,15.49365,NA,389.89809,NA,15.71688,17.29948,654,9354,223.66004,"3.9934042336000002",20.61281
"553",41015,2018,"Oregon","Curry",9809.30113,15.02976,NA,325.80461,NA,14.92372,15.91875,624,9080,105.77678,"4.3109997798000004",17.72705
"554",41017,2018,"Oregon","Deschutes",5103.0121,13.8214,NA,395.46184,NA,13.7108,20.54584,4408,89943,213.38608,"4.3545404882999996",21.39721
"555",41019,2018,"Oregon","Douglas",9290.12802,15.2707,NA,258.16683,NA,15.85537,16.65014,2932,45891,171.19896,"4.3414660189000003",18.00823
"556",41021,2018,"Oregon","Gilliam",NA,14.3053,NA,53.93743,NA,14.7279,16.83397,50,842,16.91189,"3.8989242054000002",10.22727
"557",41023,2018,"Oregon","Grant",5322.54697,14.17934,NA,265.43727,NA,15.07729,16.02803,243,3131,22.70044,"4.6088723331999999",14.21801
"558",41025,2018,"Oregon","Harney",9283.7129,14.60772,NA,493.69172,NA,15.64551,17.29352,217,3442,64.50127,"4.0015008021999998",15.88331
"559",41027,2018,"Oregon","Hood River",4687.74035,15.71637,NA,331.43939,NA,15.24923,20.41331,587,13975,167.46474,"3.6739817542000002",15.33333
"560",41029,2018,"Oregon","Jackson",6895.56292,13.3009,NA,345.45345,NA,17.68916,20.68607,5891,101776,326.44283,"4.6366401980000003",23.54324
"561",41031,2018,"Oregon","Jefferson",9097.56429,19.05374,NA,134.31542,NA,18.58225,17.41908,659,9859,132.60759,"3.5791385572999999",17.69231
"562",41033,2018,"Oregon","Josephine",8828.72221,17.09299,NA,682.15683,NA,18.33356,16.58148,2260,34465,219.15555,"4.5901283674000002",23.75311
"563",41035,2018,"Oregon","Klamath",8372.5874,17.18834,NA,392.8179,NA,17.57639,18.35933,2019,29426,219.58091,"4.4516412339000002",19.92634
"564",41037,2018,"Oregon","Lake",6913.10942,17.1515,NA,153.11982,NA,17.26226,16.50792,224,3482,NA,"3.9237303237000001",19.08714
"565",41039,2018,"Oregon","Lane",6519.39989,13.90718,NA,752.87062,NA,15.20904,19.28401,9230,179242,246.24322,"4.8587798580000001",22.01888
"566",41041,2018,"Oregon","Lincoln",9002.54366,16.56633,NA,338.8696,NA,16.99792,17.75091,1192,20986,326.86077,"4.3854806281999998",18.81955
"567",41043,2018,"Oregon","Linn",7077.18579,15.32118,NA,138.38126,NA,16.39028,16.29129,3290,57129,102.83638,"4.3103310730000004",19.081
"568",41045,2018,"Oregon","Malheur",7265.30293,20.53629,NA,407.37212,NA,18.37597,16.98155,706,12539,283.53326,"5.0527976441",22.32535
"569",41047,2018,"Oregon","Marion",5892.19821,17.19041,NA,297.33941,NA,15.78743,17.47266,8103,158561,234.90559,"4.1027807110000003",21.74123
"570",41049,2018,"Oregon","Morrow",6781.47682,17.35076,NA,620.89764,NA,15.67475,18.12652,288,5733,156.10273,"3.4885984642999999",15.74697
"571",41051,2018,"Oregon","Multnomah",6087.49886,13.56862,NA,727.96293,NA,15.06974,22.05508,19128,446379,475.52965,"5.0333318637",22.45338
"572",41053,2018,"Oregon","Polk",5884.90876,14.70987,NA,252.9851,NA,14.60023,19.59066,1957,38120,240.08875,"4.2390974911999999",20.40347
