"","X","fips","year","state","county","combined_overdose_mortality_rate","combined_overdose_deaths","child_mortality_rate","infant_mortality_rate","age_adjusted_mortality","combined_household_income"
"68",68,6059,2014,"California","Orange",9.6180517547,1991,NA,NA,NA,71866
"69",69,6061,2014,"California","Placer",11.801234122,271,NA,NA,NA,69521
"70",70,6063,2014,"California","Plumas",26.38430828,38,NA,NA,NA,46450
"71",71,6065,2014,"California","Riverside",10.054491153,1440,NA,NA,NA,52416
"72",72,6067,2014,"California","Sacramento",16.153188411,1564,NA,NA,NA,52617
"73",73,6069,2014,"California","San Benito",9.1703697493,35,NA,NA,NA,60577
"74",74,6071,2014,"California","San Bernardino",5.1434855735,713,NA,NA,NA,50603
"75",75,6073,2014,"California","San Diego",11.139699509,2336,NA,NA,NA,60235
"76",76,6075,2014,"California","San Francisco",19.616184577,1073,NA,NA,NA,72093
"77",77,6077,2014,"California","San Joaquin",13.932027567,650,NA,NA,NA,50431
"78",78,6079,2014,"California","San Luis Obispo",12.263513605,226,NA,NA,NA,58427
"79",79,6081,2014,"California","San Mateo",7.7752531447,381,NA,NA,NA,81568
"80",80,6083,2014,"California","Santa Barbara",10.536130117,305,NA,NA,NA,60683
"81",81,6085,2014,"California","Santa Clara",6.6337434588,798,NA,NA,NA,91195
"82",82,6087,2014,"California","Santa Cruz",12.866672186,230,NA,NA,NA,65799
"83",83,6089,2014,"California","Shasta",26.721837815,330,NA,NA,NA,44477
"84",84,6091,2014,"California","Sierra",NA,NA,NA,NA,NA,45157
"85",85,6093,2014,"California","Siskiyou",17.282488678,54,NA,NA,NA,36597
"86",86,6095,2014,"California","Solano",9.8369816791,282,NA,NA,NA,61976
"87",87,6097,2014,"California","Sonoma",13.326310771,440,NA,NA,NA,59855
"88",88,6099,2014,"California","Stanislaus",15.705598001,556,NA,NA,NA,46324
"89",89,6101,2014,"California","Sutter",10.74302832,69,NA,NA,NA,46524
"90",90,6103,2014,"California","Tehama",10.625789716,46,NA,NA,NA,38577
"91",91,6105,2014,"California","Trinity",22.085502445,21,NA,NA,NA,35162
"92",92,6107,2014,"California","Tulare",7.825982669,231,NA,NA,NA,40197
"93",93,6109,2014,"California","Tuolumne",25.384640769,100,NA,NA,NA,46624
"94",94,6111,2014,"California","Ventura",10.033381861,565,NA,NA,NA,71043
"95",95,6113,2014,"California","Yolo",6.428948298,87,NA,NA,NA,51040
"96",96,6115,2014,"California","Yuba",4.9423902635,24,NA,NA,NA,41599
"97",97,53000,2014,"Washington","year_state_total",14.227435125,6434,NA,NA,NA,57574
"98",98,53001,2014,"Washington","Adams",NA,NA,NA,NA,NA,43939
"99",99,53003,2014,"Washington","Asotin",14.820503493,22,NA,NA,NA,42364
"100",100,53005,2014,"Washington","Benton",10.544478528,121,NA,NA,NA,58361
"101",101,53007,2014,"Washington","Chelan",14.654281085,72,NA,NA,NA,45730
"102",102,53009,2014,"Washington","Clallam",25.960274647,127,NA,NA,NA,43482
"103",103,53011,2014,"Washington","Clark",12.975139982,370,NA,NA,NA,56087
"104",104,53013,2014,"Washington","Columbia",NA,NA,NA,NA,NA,41834
"105",105,53015,2014,"Washington","Cowlitz",22.056496139,154,NA,NA,NA,47714
"106",106,53017,2014,"Washington","Douglas",13.367354561,34,NA,NA,NA,48308
"107",107,53019,2014,"Washington","Ferry",NA,NA,NA,NA,NA,36321
"108",108,53021,2014,"Washington","Franklin",6.5247773157,31,NA,NA,NA,52829
"109",109,53023,2014,"Washington","Garfield",NA,NA,NA,NA,NA,46927
"110",110,53025,2014,"Washington","Grant",17.313791035,101,NA,NA,NA,45050
"111",111,53027,2014,"Washington","Grays Harbor",21.17573261,106,NA,NA,NA,41823
"112",112,53029,2014,"Washington","Island",10.031974639,55,NA,NA,NA,56459
"113",113,53031,2014,"Washington","Jefferson",20.071080999,41,NA,NA,NA,47398
"114",114,53033,2014,"Washington","King",13.248662267,1717,NA,NA,NA,68944
"115",115,53035,2014,"Washington","Kitsap",11.701217276,201,NA,NA,NA,59354
"116",116,53037,2014,"Washington","Kittitas",4.7498648115,13,NA,NA,NA,43649
"117",117,53039,2014,"Washington","Klickitat",10.091762959,14,NA,NA,NA,46001
"118",118,53041,2014,"Washington","Lewis",18.206539634,94,NA,NA,NA,42993
"119",119,53043,2014,"Washington","Lincoln",NA,NA,NA,NA,NA,46603
"120",120,53045,2014,"Washington","Mason",16.527498551,67,NA,NA,NA,48539
"121",121,53047,2014,"Washington","Okanogan",17.560080561,49,NA,NA,NA,38537
"122",122,53049,2014,"Washington","Pacific",17.547056481,26,NA,NA,NA,37774
"123",123,53051,2014,"Washington","Pend Oreille",17.94949461,16,NA,NA,NA,40304
"124",124,53053,2014,"Washington","Pierce",13.904098747,751,NA,NA,NA,57542
"125",125,53055,2014,"Washington","San Juan",9.2608884896,10,NA,NA,NA,51224
"126",126,53057,2014,"Washington","Skagit",15.207386014,121,NA,NA,NA,52886
"127",127,53059,2014,"Washington","Skamania",13.360588935,10,NA,NA,NA,53669
"128",128,53061,2014,"Washington","Snohomish",16.235455214,774,NA,NA,NA,67068
"129",129,53063,2014,"Washington","Spokane",21.65922216,689,NA,NA,NA,47531
"130",130,53065,2014,"Washington","Stevens",18.423238738,55,NA,NA,NA,39948
"131",131,53067,2014,"Washington","Thurston",12.537492501,209,NA,NA,NA,58556
"132",132,53069,2014,"Washington","Wahkiakum",NA,NA,NA,NA,NA,49346
"133",133,53071,2014,"Washington","Walla Walla",10.225331388,41,NA,NA,NA,45225
"134",134,53073,2014,"Washington","Whatcom",11.658283099,157,NA,NA,NA,51509
