"","X.1","fips","year","state","county","combined_overdose_mortality_rate","combined_overdose_deaths","child_mortality_rate","infant_mortality_rate","age_adjusted_mortality","combined_household_income","combined_ypll_rate","percent_fair_or_poor_health","average_number_of_physically_unhealthy_days","mental_health_provider_rate","average_number_of_mentally_unhealthy_days","smokers","excessive_drinking","unemployed","labor_force","violent_crime_rates","income_ratio","severe_housing_problems"
"32",304,41061,2016,"Oregon","Union",16.860781821,13,NA,NA,327.3,44841,6437.5,14.1,NA,179.05103,NA,16.5,19.7,872,11743,157.45488,4.7303120357,17.23301
"33",305,41063,2016,"Oregon","Wallowa",NA,NA,NA,NA,303.8,39743,7474.3,12.8,NA,131.96481,NA,14.2,18.1,328,3227,23.66192,4.7091893703,17.78523
"34",306,41065,2016,"Oregon","Wasco",NA,NA,82.108902334,NA,369.1,44010,7620.6,15.4,NA,227.31726,NA,16.1,19.2,912,13620,88.03395,3.6005935507,16.41026
"35",307,41067,2016,"Oregon","Washington",9.1855149832,153,41.946846568,4.2647982788,227.4,66315,4327,11,NA,231.26192,NA,12.1,20.9,16805,293632,159.56166,4.1878460687,18.20044
"36",308,41069,2016,"Oregon","Wheeler",NA,NA,NA,NA,271.7,33387,NA,13.8,NA,145.45455,NA,14.1,16.6,47,735,NA,4.7753001715,16
"37",309,41071,2016,"Oregon","Yamhill",10.239877386,31,41.954893373,5.7182868479,293.6,52903,5726.9,14.4,NA,297.76529,NA,16.2,21.1,3308,50300,124.60353,4.1209556994,19.42807
"38",310,6000,2016,"California","year_state_total",11.298316528,13013,40.379043295,4.9025834434,272.5,61927,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39",311,6001,2016,"California","Alameda",9.969371057,473,38.077196583,4.3670278813,256.3,76996,4885.7,13,NA,484.93998,NA,10.6,16.3,47683,811346,723.49198,5.4265200564,25.09459
"40",312,6003,2016,"California","Alpine",NA,NA,NA,NA,NA,53003,NA,15.6,NA,627.24014,NA,15.7,17.9,43,491,719.21749,5.1752958255,14.28571
"41",313,6005,2016,"California","Amador",27.199535795,30,NA,NA,305.3,54610,5775.7,12.7,NA,157.85749,NA,12.6,18.7,1207,14459,294.07926,4.5519665421,21.81243
"42",314,6007,2016,"California","Butte",30.24540704,202,47.861367075,5.6432108718,375.6,42302,7436.8,15.2,NA,454.86775,NA,15,19.9,8820,101924,304.10817,5.1152521317,23.72025
"43",315,6009,2016,"California","Calaveras",19.4202314,26,44.281750015,NA,331.3,53321,7536.8,11.8,NA,127.73395,NA,11.6,18.2,1641,20307,228.92638,4.6807746232,21.02578
"44",316,6011,2016,"California","Colusa",NA,NA,59.741914928,NA,312.6,48006,6254.6,20.8,NA,168.07507,NA,14.3,17.7,1947,11152,215.91943,3.7795402391,18.88163
"45",317,6013,2016,"California","Contra Costa",11.841196466,389,35.342917539,4.5097973389,247.1,80338,4880.3,13.8,NA,291.72017,NA,11,17.4,33509,544022,396.59625,4.788258815,23.38903
"46",318,6015,2016,"California","Del Norte",16.791604198,14,58.08887598,NA,428.3,41419,8718.8,17.2,NA,371.15978,NA,16.1,19.1,1022,10041,492.59375,5.8289863245,24.36888
"47",319,6017,2016,"California","El Dorado",21.086021801,115,27.032124222,3.9244542556,256.1,70235,5110.9,11.6,NA,253.43143,NA,11.6,20.6,6212,88797,241.19475,4.7834101382,20.9448
"48",320,6019,2016,"California","Fresno",10.351530301,297,58.908493076,6.6002318299,339.3,43338,6902.6,21.8,NA,252.49127,NA,13.4,16.9,51217,441022,543.05331,5.1159428138,29.17828
"49",321,6021,2016,"California","Glenn",20.265356968,17,64.634973984,NA,349.2,43755,7233.5,19.5,NA,114.46968,NA,14.7,17.6,1375,12908,254.22532,5.3745523991,21.12159
"50",322,6023,2016,"California","Humboldt",32.662837856,132,58.371070544,6.4290962528,407.3,40581,8433.9,14.7,NA,348.64141,NA,15.2,19.8,4256,62751,333.79215,4.7753569176,26.01069
"51",323,6025,2016,"California","Imperial",14.26900453,76,39.762407344,4.0674557836,284.2,38737,5244.5,27.8,NA,102.74106,NA,14.4,16.5,18957,80266,303.97915,5.55346651,28.04089
"52",324,6027,2016,"California","Inyo",27.08950372,15,NA,NA,308.6,49267,5560.3,14.1,NA,325.90983,NA,13,18.2,643,9213,393.14498,4.8575200621,19.84829
"53",325,6029,2016,"California","Kern",21.31127135,553,54.269033345,6.4805631253,384.9,47451,7492.2,20.8,NA,144.29635,NA,16.7,19.1,41204,394849,561.13979,4.9375591296,26.74777
"54",326,6031,2016,"California","Kings",12.152198554,55,51.581843191,5.861086766,337.9,44490,6348.7,21.6,NA,158.38263,NA,15.5,18.8,6920,57393,397.88056,4.5204573965,24.45725
"55",327,6033,2016,"California","Lake",45.826888927,88,58.140625293,5.3603335319,501.3,36333,10644.8,17.9,NA,320.95226,NA,15.3,16.9,2653,29928,512.28405,4.9823862175,28.40452
"56",328,6035,2016,"California","Lassen",31.772061084,31,42.105263158,NA,356,49995,6744.1,14.1,NA,283.4735,NA,14.8,21.9,1002,10808,353.33327,4.4340221844,19.95062
"57",329,6037,2016,"California","Los Angeles",7.4161294569,2232,39.572912642,4.7066740719,262.7,55686,5009.3,20.6,NA,256.37794,NA,12.4,16.8,415088,5025883,473.90485,5.3783648143,34.75925
"58",330,6039,2016,"California","Madera",14.809813679,68,57.56650676,5.4489594806,329.4,43171,6855.2,22.8,NA,122.2921,NA,15.7,17.6,6981,63184,521.3532,4.4293467632,28.0756
"59",331,6041,2016,"California","Marin",12.255154905,95,29.948374706,3.1402456121,183.2,94549,3621.6,10.7,NA,645.06232,NA,10.5,18.4,5980,140051,202.69714,5.6377306904,24.36258
"60",332,6043,2016,"California","Mariposa",28.12043043,15,NA,NA,317.4,47781,7495.3,13,NA,214.90782,NA,12.7,17.9,715,8128,295.94931,5.1273888554,18.4011
"61",333,6045,2016,"California","Mendocino",19.810353958,52,53.272351649,7.3123797306,350.2,42840,7596.3,17.4,NA,440.42836,NA,15,17.2,2838,41067,501.35808,4.9014376078,27.95793
"62",334,6047,2016,"California","Merced",12.754361108,101,42.845699596,5.9874456784,338,43818,6723.5,22.9,NA,115.26058,NA,15.6,16.2,14771,115386,603.68052,4.5840559147,27.11591
"63",335,6049,2016,"California","Modoc",NA,NA,NA,NA,439,39172,10229.1,16.4,NA,232.73856,NA,14.4,17,353,3365,439.99862,4.3326228343,19.20615
"64",336,6051,2016,"California","Mono",NA,NA,NA,NA,166.6,59181,3724.6,13.9,NA,171.46531,NA,13.6,21.1,589,8161,353.38154,3.0368899667,26.21167
"65",337,6053,2016,"California","Monterey",11.344810759,146,46.067333609,4.7225739033,246.8,57428,5044.2,19.9,NA,251.53937,NA,13.6,18.9,19920,219814,464.30727,4.3616244581,30.72128
"66",338,6055,2016,"California","Napa",10.925379657,46,31.822810591,5.4116394606,251.1,71063,4729.2,14.2,NA,411.52844,NA,11.2,18.3,4129,74041,383.62955,4.4501246883,24.9238
"67",339,6057,2016,"California","Nevada",23.359344584,69,43.756495105,4.4130626655,262.9,57118,6140,11.5,NA,487.39547,NA,11.7,18.2,3153,47906,275.64006,4.3583976682,23.72372
"68",340,6059,2016,"California","Orange",11.229934513,1050,31.136877578,4.2873692352,218.6,76061,4153.2,12.6,NA,196.40663,NA,11.1,19.5,86442,1575606,221.06289,4.7346919311,28.69383
"69",341,6061,2016,"California","Placer",11.084006778,122,31.609170171,4.4283710975,243.3,75689,4923.8,10.9,NA,229.22081,NA,11.4,19.9,11053,176474,203.40867,4.4288437924,20.2011
"70",342,6063,2016,"California","Plumas",49.240292628,28,NA,NA,381.1,47964,8755.7,13.9,NA,231.10824,NA,13.3,16.7,952,8140,533.24917,4.9115029754,20.47201
"71",343,6065,2016,"California","Riverside",13.496723997,930,37.866033281,5.1538348365,291.7,56877,5589.4,18.1,NA,141.28884,NA,14.1,17.9,83372,1010706,305.53255,4.5965417867,28.39038
"72",344,6067,2016,"California","Sacramento",15.884293165,698,43.931268287,5.4537461879,328.5,55803,6292.8,15.9,NA,304.31315,NA,15,17.6,49979,682174,558.63858,4.7817879927,23.8656
"73",345,6069,2016,"California","San Benito",10.419621305,18,42.43281471,4.8710084792,248.9,68166,5053.8,17.6,NA,84.09563,NA,12.4,19.1,2731,29242,373.10764,4.0432589973,29.98812
"74",346,6071,2016,"California","San Bernardino",5.9850663045,376,48.838419216,6.3157525907,339.7,51951,6445.1,20.6,NA,170.83061,NA,14.1,17.5,73197,909188,430.49908,4.6717489189,28.78689
"75",347,6073,2016,"California","San Diego",13.168601826,1271,40.779283848,4.5250995741,255,66034,4871.3,14.3,NA,282.9231,NA,11.8,20,99216,1546363,367.03131,4.8682956581,26.62723
"76",348,6075,2016,"California","San Francisco",17.092155337,430,40.860151591,3.5764690788,254.2,83788,4930.1,11.2,NA,779.7351,NA,11.5,19.7,23307,532645,702.6598,6.9026548673,27.31194
"77",349,6077,2016,"California","San Joaquin",15.782620085,335,45.508384764,5.8419784135,358.2,51527,6986.4,18.5,NA,179.71009,NA,13.9,16.6,33094,311061,839.21977,4.8206747249,28.22871
"78",350,6079,2016,"California","San Luis Obispo",13.127310828,109,46.600170537,4.4937879989,262.5,61775,5411.1,13.1,NA,468.67778,NA,12.4,20.1,7838,139865,281.90737,4.6337145859,24.6141
